Ftid,name,ticketPrice,lid
1,Tribeca Screening Room,13,1
2,Village East Cinema,15,2
3,IFC Center,15,3
4,Metrograph,15,4
5,AMC Loews 84th Street 6,17,5
6,Regal Battery Park,12,6
7,Alamo Drafthouse Cinema,18,7
8,AMC Lincoln Square 13,14,8
9,iPic Theaters at Fulton Market,20,9
10,Cinepolis Chelsea,23,10
11,CMX CineBistro,12,11
12,Yotel- Rooftop Cinema Club NYC,14,12
13,The Bechmann Theatre NYC,10,13
14,The Roxy Cinema Tribecca,12,14
15,LeFrak Theater,9,15
16,Quad Cinema,10,16
17,Film Forum,12,17
18,Angelica Film Center,13,18 
19,The Ziegfeld,14,19
20,Landmark 57 West,13,20
21,Rooftop Films,14,21
22,Cobble Hill Cinemas,14,22
23,Nitehawk Cinema,18,23
24,BAM Rose Cinemas,12,24
25,Syndicated Bar Theater Kitchen,17,25 
26,Spectacle,12,26
27,Alamo Drafthouse Cinema Brooklyn,15,27
28,AMC Fresh Meadows 7,15,28
29,Kew Gardens Cinema,12,29
30,College Point Multiplex Cinemas,18,30
31,AMC Bay Terrace,15,31
32,Jamaica Multiplex Cinemas,13,32
33,AMC Bay Plaza Cinema 13,11,33
34,Concourse Plaza Multiplex Cinemas,15,34
35,Atrium Stadium cinemas,14,35